Year,Case Vehicle ID,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make,Contributing Factor 1,Contributing Factor 1 Description,Contributing Factor 2,Contributing Factor 2 Description,Event Type,Partial VIN
2018,15252713,CONVERTIBLE,PASSENGER OR SUBURBAN,Overtaking/Passing,Not Entered,South,Gas,2004,NY,1,8,ME/BE,HUMAN,Not Applicable,HUMAN,Passing or Lane Usage Improper,Not Applicable,WDBTK75G94T018537
2018,15252712,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2015,NY,1,4,NISSA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1N4AL3AP1FC429105
2018,15252715,SUBURBAN,OMNIBUS-SPECIAL (PRIVATE RENTAL),Stopped in Traffic,Not Entered,North,Gas,2017,NY,1,4,TOYOT,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,JTMRJREV4HD105867
2018,15252714,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2018,NY,1,4,VOLKS,HUMAN,Not Applicable,HUMAN,Following Too Closely,Not Applicable,3VW2B7AJ7JM215714
2018,15252717,PICKUP TRUCK,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2016,NY,1,8,RAM,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1C6RR7MT2GS159120
2018,15252716,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Changing Lanes,Not Entered,East,Gas,2017,NY,1,4,HONDA,HUMAN,Not Applicable,HUMAN,Unsafe Lane Changing,Not Applicable,2HGFC3A58HH751742
2018,15252719,SUBURBAN,SCHOOL CAR,Stopped in Traffic,Not Entered,Southwest,Gas,2015,NY,2,8,THOMA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1GB3G3BGXE1149798
2018,15252718,4 DOOR SEDAN,SPECIAL PASSENGER,Slowing or Stopping,Not Entered,Southwest,Gas,2015,NY,1,4,NISSA,HUMAN,Driver Inattention/Distraction*,HUMAN,Following Too Closely,Not Applicable,1N4AL3AP9FN350060
2018,15252720,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2015,NY,1,6,HONDA,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,"Snow Embankment, Collision With Fixed Object",5FNYF4H50FB020431
2018,15252722,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2014,NY,1,6,ME/BE,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,WDDHF8JBXEB042032
2018,15252721,SUBURBAN,OMNIBUS-SPECIAL (PRIVATE RENTAL),Changing Lanes,Not Entered,North,Gas,2017,NY,2,6,JEEP,HUMAN,Passing or Lane Usage Improper,HUMAN,Unsafe Lane Changing,Not Applicable,1C4RJFBG7HC899564
2018,15252724,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2016,NY,1,6,HONDA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,5FNYF6H13GB068709
2018,15252726,SUBURBAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,North,Gas,2014,NY,1,6,JEEP,HUMAN,Unsafe Speed,HUMAN,Aggressive Driving/Road Rage,Not Applicable,1C4PJMCS3EW151919
2018,15252725,SUBURBAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,North,Gas,2016,NY,1,8,RAM,HUMAN,Not Applicable,HUMAN,Aggressive Driving/Road Rage,Not Applicable,3C6TR5MTXGG117974
2018,15252731,VAN TRUCK,AGRICULTURAL TRUCK,Going Straight Ahead,Not Entered,West,Gas,2012,NY,2,8,CHEVR,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1GB3G3CG3C1125127
2018,15252730,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,North,Gas,2016,NY,1,4,CHEVR,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,1G1PC5SG8G7146508
2018,15252735,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,West,Gas,2016,NY,1,4,FORD,HUMAN,Not Applicable,HUMAN,Reaction to Other Uninvolved Vehicle,Not Applicable,3FA6P0H79GR138515
2018,15252734,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2014,NY,4,6,ME/BE,HUMAN,Following Too Closely,HUMAN,Reaction to Other Uninvolved Vehicle,Not Applicable,WDDGF8ABXEG174299
2018,15252733,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,1997,NY,1,4,HONDA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,JHMEJ662XVS028946
2018,15252732,SUBURBAN,PASSENGER OR SUBURBAN,Slowing or Stopping,Not Entered,South,Gas,2016,NY,1,6,CHRYS,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,2C4RC1BG6GR294941
2018,15252737,REFRIGERATOR TRUCK,AGRICULTURAL TRUCK,Going Straight Ahead,Not Entered,East,Diesel,2012,NY,2,4,ISUZU,HUMAN,Not Applicable,HUMAN,Traffic Control Device Disregarded,Not Applicable,JALE5W161C7900770
2018,15252736,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2013,NY,1,6,CHEVR,HUMAN,Reaction to Other Uninvolved Vehicle,ENVMT,Pavement Slippery,Not Applicable,2G1WG5E36D1170498
